Parâmetros;Média da validação;Média dos testes
100/4/UnbiasedMutateWeights/crossOverNodes;0.16;0.198
100/4/UnbiasedMutateWeights/crossOverFeatures;0.11;0.132
100/4/UnbiasedMutateWeights/Line Recombination;0.346;0.29
100/4/MutateNodes/random;0.12;0.142
100/4/MutateNodes/crossOverWeights;0.18;0.17
100/4/MutateNodes/crossOverNodes;0.064;0.05
100/4/MutateNodes/crossOverFeatures;0.0;0.0
100/4/MutateNodes/Line Recombination;0.236;0.186
100/4/MutateWeakestNodes/random;0.282;0.244
100/4/MutateWeakestNodes/crossOverWeights;0.086;0.086
100/4/MutateWeakestNodes/crossOverNodes;0.06;0.072
100/4/MutateWeakestNodes/crossOverFeatures;0.0;0.0
100/4/MutateWeakestNodes/Line Recombination;0.184;0.23
100/4/SinglePointRandom/random;0.366;0.36
100/4/SinglePointRandom/crossOverWeights;0.344;0.336
100/4/SinglePointRandom/crossOverNodes;0.278;0.274
100/4/SinglePointRandom/crossOverFeatures;0.13;0.126
100/4/SinglePointRandom/Line Recombination;0.136;0.172
100/4/NonUniform/random;0.414;0.426
100/4/NonUniform/crossOverWeights;0.256;0.252
100/4/NonUniform/crossOverNodes;0.332;0.332
100/4/NonUniform/crossOverFeatures;0.068;0.046
100/4/NonUniform/Line Recombination;0.228;0.22
;;;
;Melhor Combinação;Média da validação;Média dos testes;
Melhor média da Validacao:;100/4/NonUniform/random;0.414;0.426
Melhor média dos Testes:;100/4/NonUniform/random;0.414;0.426
